monster_id,name,variant,area,hp_check,at_check,at_actual,df_check,df_actual,exp_on_kill,encounter_type,is_boss,fixed_turns
1,Froggit,Normal,Ruins,30,4,4,5,4,3,farmable,0,
2,Froggit,First_Froggit,Ruins,20,4,4,5,1,10,one-time,0,
3,Whimsun,Normal,Ruins,10,5,4,0,0,2,farmable,0,
4,Moldsmal,Normal,Ruins,50,6,4,0,0,3,farmable,0,
5,Napstablook,Normal,Ruins,88,10,5,10,4,,fixed,1,0
6,Vegetoid,Normal,Ruins,72,6,5,6,0,6,farmable,0,
7,Vegetoid,Overworld,Ruins,72,6,5,6,0,6,fixed,0,
8,Migosp,Normal,Ruins,40,7,5,5,4,5,farmable,0,
9,Loox,Normal,Ruins,50,6,5,6,4,13.5,farmable,0,
10,Loox,First_Loox,Ruins,50,6,5,6,4,7,one-time,0,
11,Toriel,Normal,Ruins,440,80,6,80,-9999,150,fixed,1,1
12,Snowdrake,Normal,Snowdin,74,12,6,7,2,22,farmable,0,
13,Chilldrake,Normal,Snowdin,74,12,6,7,2,22,farmable,0,
14,Ice_Cap,Normal,Snowdin,48,11,6,4,0,17,farmable,0,
15,Ice_Cap,Ice,Snowdin,48,1,0,0,-100,25,farmable,0,
16,Doggo,Normal,Snowdin,70,13,6,7,1,30,fixed,1,
17,Lesser_Dog,Normal,Snowdin,60,12,6,2,0,18,fixed,1,
18,Jerry,Normal,Snowdin,80,0,1,30,8,1,farmable,0,
19,Dogamy,Normal,Snowdin,108,14,6,5,4,60,fixed,1,
20,Dogaressa,Normal,Snowdin,108,14,6,5,4,60,fixed,1,
21,Gyftrot,Normal,Snowdin,114,16,7,8,3,35,farmable,0,
22,Greater_Dog,Normal,Snowdin,105,15,6,8,4,80,fixed,1,
23,Papyrus,Normal,Snowdin,680,3,3,3,-20000,200,fixed,1,1
24,Aaron,Normal,Waterfall,98,24,7,12,2,52,farmable,0,
25,Woshua,Normal,Waterfall,70,18,7,5,1,52,farmable,0,
26,Moldsmal,Waterfall,Waterfall,50,6,7,0,0,3,farmable,0,
27,Shyren,Normal,Waterfall,66,19,7,0,2,52,fixed,0,
28,Glad_Dummy,Normal,Waterfall,5,0,0,0,-5,0,fixed,1,1
29,Temmie,Normal,Waterfall,5,7,7,-20,-20,40,farmable,0,
30,Moldbygg,Normal,Waterfall,70,18,7,18,4,46,fixed,0,
31,Monster_Kid,Normal,Waterfall,100,2,1,2,-900,,fixed,0,1
32,Undyne_the_Undying,Normal,Waterfall,23000,99,12,99,5,15000,fixed,1,
33,Vulkin,Normal,Hotland,20,25,8,0,-10,70,farmable,0,
34,Tsunderplane,Normal,Hotland,80,25,8,26,6,95,farmable,0,
35,Pyrope,Normal,Hotland,110,29,8,14,1,80,farmable,0,
36,Royal_Guards,Normal,Hotland,150,30,8,20,-400,220,fixed,1,2
37,Muffet,Normal,Hotland,1250,38.8,8,18.8,-800,300,fixed,1,1
38,Madjick,Normal,Core,190,29,8,24,-1,150,farmable,0,
39,Knight_Knight,Normal,Core,230,36,8,36,2,180,farmable,0,
40,Final_Froggit,Normal,Core,100,30,8,24,0,120,farmable,0,
41,Whimsalot,Normal,Core,95,34,8,12,-3,110,farmable,0,
42,Astigmatism,Normal,Core,120,32,8,26,-2,130,farmable,0,
43,Mettaton_NEO,Normal,Core,30000,90,10,9,-40000,0,fixed,1,1
44,Sans,Normal,New_home,1,1,1,1,1,0,fixed,1,24
